barcode,product,model,color,size,price
1225520001002,กระเป๋าผ้า,552,ดำ,-,790
1225520002009,กระเป๋าผ้า,552,ตาล,-,790
1226040001008,กระเป๋าผ้า,604,ดำ,-,690
1226040002005,กระเป๋าผ้า,604,ตาล,-,690
1226080001006,กระเป๋าผ้า,608,ดำ,-,690
1226080002003,กระเป๋าผ้า,608,ตาล,-,690
1226180001005,กระเป๋าผ้า,618,ดำ,-,590
1226180002002,กระเป๋าผ้า,618,ตาล,-,590
1226180005003,กระเป๋าผ้า,618,ม่วง,-,590
1226270001007,กระเป๋าผ้า,627,ดำ,-,490
1226310001004,กระเป๋าผ้า,631,ดำ,-,490
1226310005002,กระเป๋าผ้า,631,ม่วง,-,490
1226360001009,กระเป๋าผ้า,636,ดำ,-,690
1226360002006,กระเป๋าผ้า,636,ตาล,-,690
1226360005007,กระเป๋าผ้า,636,ม่วง,-,690
1228020001008,กระเป๋าผ้า,802,ดำ,-,590
1228030001005,กระเป๋าผ้า,803,ดำ,-,590
1228030002002,กระเป๋าผ้า,803,ตาล,-,590
1228040001002,กระเป๋าผ้า,804,ดำ,-,590
1228040002009,กระเป๋าผ้า,804,ตาล,-,590
1228120001007,กระเป๋าผ้า,812,ดำ,-,690
1228910001002,กระเป๋าผ้า,891,ดำ,-,299
1228910002009,กระเป๋าผ้า,891,ตาล,-,299
1228910005000,กระเป๋าผ้า,891,ม่วง,-,299
1228910006007,กระเป๋าผ้า,891,เขียว,-,299
1228910007004,กระเป๋าผ้า,891,กรม,-,299
1228910004003,กระเป๋าผ้า,891,แดง,-,299
1229230001000,กระเป๋าผ้า,923,ดำ,-,590
1229850001008,กระเป๋าผ้า,985,ดำ,-,590
1229850002005,กระเป๋าผ้า,985,ตาล,-,590
1229850005006,กระเป๋าผ้า,985,ม่วง,-,590
1228035001000,กระเป๋าผ้า,8035,ดำ,-,590
1228035002007,กระเป๋าผ้า,8035,ตาล,-,590
1228860001008,กระเป๋าผ้า,886,ดำ,-,790
1228860002005,กระเป๋าผ้า,886,ตาล,-,790
1228860007000,กระเป๋าผ้า,886,กรม,-,790
1229124001000,กระเป๋าผ้า,9124,ดำ,-,790
1229124002007,กระเป๋าผ้า,9124,ตาล,-,790
1229124007002,กระเป๋าผ้า,9124,กรม,-,790
1226110001006,กระเป๋าผ้า,611,ดำ,-,790
1226110002003,กระเป๋าผ้า,611,ตาล,-,790
1226110007008,กระเป๋าผ้า,611,กรม,-,790
1230003113004,กระเป๋าผ้า,311,กรม,-,690
1230003114001,กระเป๋าผ้า,311,เทา,-,690
1230009181007,กระเป๋าผ้า,918,ดำ,-,690
1230020211004,กระเป๋าผ้า,2021,ดำ,-,1690
1230020212001,กระเป๋าผ้า,2021,น้ำตาล,-,1690
1232043041002,กระเป๋าผ้า,2043-4,ดำ,-,1190
1232043051001,กระเป๋าผ้า,2043-5,ดำ,-,1190
1230025903003,กระเป๋าผ้า,2590,น้ำเงิน,-,1390
1230025904000,กระเป๋าผ้า,2590,เทา,-,1390
1230060183002,กระเป๋าผ้า,6018,น้ำเงิน,-,1290
1230060184009,กระเป๋าผ้า,6018,เทา,-,1290
1230073505006,กระเป๋าผ้า,7350,แดง,-,690
1230073506003,กระเป๋าผ้า,7350,ครีม,-,690
1230073503002,กระเป๋าผ้า,7350,น้ำเงิน,-,690
1230073805007,กระเป๋าผ้า,7380,แดง,-,690
1230073806004,กระเป๋าผ้า,7380,ชมพู,-,690
1230073803003,กระเป๋าผ้า,7380,น้ำเงิน,-,690
1230088101002,กระเป๋าผ้า,HJ8810,ดำ,-,980
1230088102009,กระเป๋าผ้า,HJ8810,น้ำตาล,-,980
1230088301006,กระเป๋าผ้า,HJ8830,ดำ,-,980
1230088302003,กระเป๋าผ้า,HJ8830,น้ำตาล,-,980
1230088801001,กระเป๋าผ้า,8880,ดำ,-,1290
1230088802008,กระเป๋าผ้า,8880,น้ำตาล,-,1290
1230091201003,กระเป๋าผ้า,9120,ดำ,-,1390
1230091207005,กระเป๋าผ้า,9120,เขียว,-,1390
1230200261003,กระเป๋าผ้า,20026,ดำ,-,1290
1230200262000,กระเป๋าผ้า,20026,น้ำตาล,-,1290
1230200251004,กระเป๋าผ้า,20025,ดำ,-,1290
1230200252001,กระเป๋าผ้า,20025,น้ำตาล,-,1290
1232030111008,กระเป๋าผ้า,203011,ดำ,-,1290
1235204201000,กระเป๋าผ้า,HK52042,ดำ,-,980
1230849101005,กระเป๋าผ้า,TL8491,ดำ,-,1790
1230084901002,กระเป๋าผ้า,TL849,ดำ,-,1590
1230285601008,กระเป๋าผ้า,ML2856,ดำ,-,1790
1232032111006,กระเป๋าผ้า,203211,ดำ,-,1790
3240012001009,กระเป๋าเล็ก,12,ดำ,-,490
3240012005007,กระเป๋าเล็ก,12,ม่วง,-,490
3240012003003,กระเป๋าเล็ก,12,ชมพู,-,490
3240012009005,กระเป๋าเล็ก,12,แดง,-,490
3240014001007,กระเป๋าเล็ก,14,ดำ,-,490
3240014002004,กระเป๋าเล็ก,14,ตาล,-,490
3240014003001,กระเป๋าเล็ก,14,ชมพู,-,490
3240014004008,กระเป๋าเล็ก,14,แทน,-,490
3240088001002,กระเป๋าเล็ก,88,ดำ,-,890
3240088002009,กระเป๋าเล็ก,88,ตาล,-,890
3240088004003,กระเป๋าเล็ก,88,แทน,-,890
3240088007004,กระเป๋าเล็ก,88,กรม,-,890
3240088009008,กระเป๋าเล็ก,88,แดง,-,890
3240088003006,กระเป๋าเล็ก,88,ชมพู,-,890
3240088005000,กระเป๋าเล็ก,88,ม่วง,-,890
3240088006007,กระเป๋าเล็ก,88,กากี,-,890
3240088011001,กระเป๋าเล็ก,88-1,ดำ,-,1290
3240088014002,กระเป๋าเล็ก,88-1,แทน,-,1290
3240088017003,กระเป๋าเล็ก,88-1,กรม,-,1290
3240088013005,กระเป๋าเล็ก,88-1,ชมพู,-,1290
3240088015009,กระเป๋าเล็ก,88-1,ม่วง,-,1290
3240089001001,กระเป๋าเล็ก,89,ดำ,-,890
3240089002008,กระเป๋าเล็ก,89,ตาล,-,890
3240089004002,กระเป๋าเล็ก,89,แทน,-,890
3240089007003,กระเป๋าเล็ก,89,กรม,-,890
3240089009007,กระเป๋าเล็ก,89,แดง,-,890
3240089003005,กระเป๋าเล็ก,89,ชมพู,-,890
3240089005009,กระเป๋าเล็ก,89,ม่วง,-,890
3240089006006,กระเป๋าเล็ก,89,กากี,-,890
3240201001001,กระเป๋าเล็ก,201,ดำ,-,1190
3240201003005,กระเป๋าเล็ก,201,ชมพู,-,1190
